276,5421,7573,7503,4953
510,20895,27185,17773,15685
3978,505409,695152,121328,287202
3903,2011403,2776936,270922,1081906
7078,8024188,10970431,599065,4178892
17624,18037237,25081497,948728,9282013
21604,32051448,44249747,1309184,16387370
17541,50066580,69320014,1684153,25497856
25944,112602640,155452527,2652107,57028694
33045,200137004,277566282,3655694,101071058
388,5444,7419,7562,5002
671,20935,29341,17598,15740
2151,505457,684009,121317,287137
7753,2011520,2853837,270533,1081838
19356,8024383,11003167,596460,4178960
21334,18037706,25305127,947781,9282223
22388,32051931,44823012,1306403,16387625
44463,50065581,70062371,1682583,25497765
26273,112601454,155739748,2649090,57029372
96325,200138114,276166741,3655867,101071121
451,5419,6693,7898,4934
622,20930,29154,17919,15674
2256,505425,721178,120587,287108
8761,2011388,2728844,269928,1081847
10606,8024296,10720170,597943,4178603
9238,18038028,24757404,949030,9281733
20792,32051617,43879564,1309122,16386746
39598,50065769,68369108,1685836,25497470
66789,112600635,155779414,2651035,57028204
95996,200137807,272780237,3656762,101070511
416,5450,6979,7330,5019
545,20902,27416,17787,15795
4881,505496,682557,120598,287368
6199,2011579,2772019,270583,1082016
13140,8024077,10724845,598442,4178840
22482,18037751,24711149,948943,9282196
17852,32051596,43433514,1309087,16387446
23057,50065752,68479955,1686886,25498389
35247,112600982,154282919,2650851,57028870
33339,200139660,274404772,3658870,101071691
402,5410,7430,7361,4962
727,20910,28802,17449,15646
3299,505475,677574,121089,287235
9272,2011510,2701498,271153,1082044
19251,8024366,10870848,597936,4178888
11996,18038429,24467070,949063,9282407
16711,32050867,43576360,1310570,16387598
27432,50065012,68053793,1686067,25497916
31859,112601956,153281127,2651381,57029417
78867,200138922,271537996,3656580,101071279
430,5420,6880,7407,4979
860,20936,27295,17548,15734
2571,505382,681776,120828,287175
5807,2011168,2737974,268789,1081774
14589,8024850,11083698,596333,4178844
28026,18037621,24700303,948910,9281782
16123,32051060,43887627,1308991,16387540
28048,50065383,69079950,1684842,25497441
54301,112600750,156634422,2647556,57028736
45001,200137751,275336879,3653829,101069955
164,5453,7485,7449,4983
545,20941,29869,17544,15694
4188,505416,684647,120688,287047
7998,2011433,2734267,270710,1081748
16556,8024579,11018523,596493,4178761
15566,18038102,24921117,949651,9282130
13680,32052162,43922750,1308773,16387312
17646,50065030,68469373,1686242,25497959
26406,112602078,154715505,2649404,57027799
80358,200137045,272394467,3655401,101070232
437,5428,6715,7333,5031
874,20912,28329,17722,15794
3950,505396,708209,121644,287270
8726,2011495,2799992,270782,1081782
10417,8024277,10898953,600152,4178479
14201,18038386,24400179,948677,9281819
25412,32051947,44442236,1309856,16387305
42972,50065109,68867485,1682734,25497640
52768,112601306,155680524,2648905,57028671
87512,200139079,277071744,3657025,101070587
311,5436,7683,7563,5021
951,20948,32784,17174,15760
4482,505331,687111,121230,287191
7718,2011558,2740515,269080,1081939
14421,8024026,11135552,596985,4178797
24414,18037292,24580414,949815,9282270
25531,32051647,43815962,1309683,16387467
32283,50064216,68419829,1687705,25497570
46076,112601499,155349710,2650991,57028995
55123,200136596,276566745,3656414,101070962
479,5412,6671,7506,4902
797,20924,29242,17565,15644
3838,505373,662812,120998,287213
6647,2011514,2670214,270892,1081915
16920,8024542,10919336,597256,4178764
11534,18037811,24904760,948055,9281897
17075,32051455,44320246,1309364,16387608
21783,50066013,69531918,1681939,25498178
42345,112601642,155179221,2648078,57028588
71202,200138138,274252994,3656357,101071397
