276,388,451,416,402,430,164,437,311,479
5421,5444,5419,5450,5410,5420,5453,5428,5436,5412
7573,7419,6693,6979,7430,6880,7485,6715,7683,6671
7503,7562,7898,7330,7361,7407,7449,7333,7563,7506
4953,5002,4934,5019,4962,4979,4983,5031,5021,4902
510,671,622,545,727,860,545,874,951,797
20895,20935,20930,20902,20910,20936,20941,20912,20948,20924
27185,29341,29154,27416,28802,27295,29869,28329,32784,29242
17773,17598,17919,17787,17449,17548,17544,17722,17174,17565
15685,15740,15674,15795,15646,15734,15694,15794,15760,15644
3978,2151,2256,4881,3299,2571,4188,3950,4482,3838
505409,505457,505425,505496,505475,505382,505416,505396,505331,505373
695152,684009,721178,682557,677574,681776,684647,708209,687111,662812
121328,121317,120587,120598,121089,120828,120688,121644,121230,120998
287202,287137,287108,287368,287235,287175,287047,287270,287191,287213
3903,7753,8761,6199,9272,5807,7998,8726,7718,6647
2011403,2011520,2011388,2011579,2011510,2011168,2011433,2011495,2011558,2011514
2776936,2853837,2728844,2772019,2701498,2737974,2734267,2799992,2740515,2670214
270922,270533,269928,270583,271153,268789,270710,270782,269080,270892
1081906,1081838,1081847,1082016,1082044,1081774,1081748,1081782,1081939,1081915
7078,19356,10606,13140,19251,14589,16556,10417,14421,16920
8024188,8024383,8024296,8024077,8024366,8024850,8024579,8024277,8024026,8024542
10970431,11003167,10720170,10724845,10870848,11083698,11018523,10898953,11135552,10919336
599065,596460,597943,598442,597936,596333,596493,600152,596985,597256
4178892,4178960,4178603,4178840,4178888,4178844,4178761,4178479,4178797,4178764
17624,21334,9238,22482,11996,28026,15566,14201,24414,11534
18037237,18037706,18038028,18037751,18038429,18037621,18038102,18038386,18037292,18037811
25081497,25305127,24757404,24711149,24467070,24700303,24921117,24400179,24580414,24904760
948728,947781,949030,948943,949063,948910,949651,948677,949815,948055
9282013,9282223,9281733,9282196,9282407,9281782,9282130,9281819,9282270,9281897
21604,22388,20792,17852,16711,16123,13680,25412,25531,17075
32051448,32051931,32051617,32051596,32050867,32051060,32052162,32051947,32051647,32051455
44249747,44823012,43879564,43433514,43576360,43887627,43922750,44442236,43815962,44320246
1309184,1306403,1309122,1309087,1310570,1308991,1308773,1309856,1309683,1309364
16387370,16387625,16386746,16387446,16387598,16387540,16387312,16387305,16387467,16387608
17541,44463,39598,23057,27432,28048,17646,42972,32283,21783
50066580,50065581,50065769,50065752,50065012,50065383,50065030,50065109,50064216,50066013
69320014,70062371,68369108,68479955,68053793,69079950,68469373,68867485,68419829,69531918
1684153,1682583,1685836,1686886,1686067,1684842,1686242,1682734,1687705,1681939
25497856,25497765,25497470,25498389,25497916,25497441,25497959,25497640,25497570,25498178
25944,26273,66789,35247,31859,54301,26406,52768,46076,42345
112602640,112601454,112600635,112600982,112601956,112600750,112602078,112601306,112601499,112601642
155452527,155739748,155779414,154282919,153281127,156634422,154715505,155680524,155349710,155179221
2652107,2649090,2651035,2650851,2651381,2647556,2649404,2648905,2650991,2648078
57028694,57029372,57028204,57028870,57029417,57028736,57027799,57028671,57028995,57028588
33045,96325,95996,33339,78867,45001,80358,87512,55123,71202
200137004,200138114,200137807,200139660,200138922,200137751,200137045,200139079,200136596,200138138
277566282,276166741,272780237,274404772,271537996,275336879,272394467,277071744,276566745,274252994
3655694,3655867,3656762,3658870,3656580,3653829,3655401,3657025,3656414,3656357
101071058,101071121,101070511,101071691,101071279,101069955,101070232,101070587,101070962,101071397
